AFAIK	,As far as I know
AFK		,Away from keyboard
AKA		,Also known as
AMA		,Ask me anything
ASAP	,As soon as possible
ASL 	,Age sex location
ATM		,At the moment
BF      ,Boyfriend
BFF		,Best friends forever
BRB		,Be right back
BTW 	,By the way
DAE		,Does anyone else
DIY		,Do it yourself
DM		,Direct message
ETA     ,Estimated time of arrival
FAQ     ,Frequently asked questions
FFS     ,For fuck's sake
FTFY	,Fixed that for you
FTW		,For the win
FYI		,For your information
GF      ,Girlfriend
GTFO    ,Get the fuck out
IDK		,I don't know
IIRC    ,If I remember correctly
IKR		,I know right
IMHO	,In my humble opinion
IMO 	,In my opinion
INB4	,In before
IRL		,In real life
ITT     ,In this topic
JFC		,Jesus fucking Christ
JK		,Just kidding
LMAO	,Laughing my ass off
LOL		,Laugh out loud
MFW		,My face when
MRW		,My reaction when
NET     ,Not earlier than
NP		,No problem
NSFL	,Not safe for life
NSFW	,Not safe for work
OFC     ,Of course
OMFG	,Oh my fucking God
OMG		,Oh my God
OP      ,Original poster
PR      ,Public relations
PSA     ,Public service announcement
RIP     ,Rest in peace
RN 		,Right now
ROFL	,Rolling on the floor
ROFLMAO	,Rolling on the floor laughing my ass off
RTFM	,Read the fucking manual
SMH		,Shaking my head
SO 		,Significant other
STFU    ,Shut the fuck up
TBA     ,To be announced
TBC     ,To be confirmed
TBH 	,To be honest
TIL 	,Today I learned
TLDR    ,Too long didn't read
TTYL	,Talk to you later
UFO     ,Unidentified flying object
VIP     ,Very important person
WTF		,What the fuck
WTH 	,What the hell
YMMV	,Your mileage may vary
YOLO    ,You only live once