DLC     ,Downloadable content
DPPt    ,Pokémon Diamond Pearl Platinum
EroGe   ,Erotic game (erochikku geemu)
EV      ,Effort value
FMV     ,Full-motion video
FPS     ,First-person shooter
FRLG    ,Pokémon FireRed LeafGreen
GB      ,Game Boy 
GBA     ,Game Boy Advanced
GBA SP  ,Game Boy Advanced Special
GBC     ,Game Boy Color
GG 		,Good game
GSC     ,Pokémon Gold Silver Crystal
GTA     ,Grand Theft Auto
HGSS    ,Pokémon HeartGold SoulSilver
HM      ,Hidden machine
HP      ,Hit point
HUD     ,Heads-up display
IV      ,Individual value
Lv      ,Level
MMORPG  ,Massive multiplayer online role-playing game 
MOBA    ,Multiplayer online battle arena
MTG     ,Magic the gathering
MVP     ,Most valuable player
NDS     ,Nintendo DualScreen
NES     ,Nintendo Entertainment System
NPC     ,Non-player character
OP      ,Overpowered
P2W     ,Pay to win
PP      ,Power point
PTCG    ,Pokémon Trading Card Game
PVP     ,Player versus player
RBY     ,Pokémon Red Blue Yellow
RPG     ,Role-playing game
RSE     ,Pokémon Ruby Sapphire Emerald
RTS     ,Real-time strategy
SNES    ,Super Nintendo Entertaintment System
STAB    ,Same type attack bonus
TCG     ,Trading card game
TM      ,Technical machine
TR      ,Team Rocket
VG      ,Video game
VN      ,Visual novel
XP      ,Experince point