    2HDM        ,Two Higgs doublet model
    BAO         ,Baryon acoustic oscillations
    BAU         ,Baryonic asymmetry of the universe
    CP          ,Charge parity symmetry
    CPT         ,Charge parity and time reversal symmetry
    DM          ,Dark matter
    EFT         ,Effective field theory
    EW          ,Electroweak
    EWBG        ,Electroweak baryogenesis
    EWSB        ,Electroweak symmetry breaking
    FIMP        ,Feebly interacting massive particle
    GUT         ,Grand unified theory
    LH          ,Left-handed
    MSSM        ,Minimal supersymmetric standard model
    NGB         ,Nambu-Goldstone boson
    NLO         ,next-to-leading order 
    NO          ,Neutrino oscillation
    NSI         ,Nonstandard interactions
    pNGB        ,pseudo-Nambu-Goldstone boson
    pQCD        ,perturbative quantum chromodynamic
    QCD         ,Quantum chromodynamics
    QED         ,Quantum electrodynamics
    QFT         ,Quantum field theory
    QM          ,Quantum mechanics
    RH          ,Right-handed
    SM          ,Standard model 
    SUSY        ,Supersymmetry
    TOE         ,Theory of everything
    WIMP        ,Weakly interacting massive particle